category,text
관람객,초반 30분까지는 긴장감도 있고 연기도 볼만했는데 그후부터는 루즈하고 뻔한 스토리에 뻔한감동임. 더 테러 라이브가 백배낫고 연기나 연출 스토리 백배 나음. 광고 오지게 해서 볼만한가싶어서 봤더니 형편 없네. 감상포인...
관람객,현대차 광고네요ㅋㅋ진짜 평점 노이해..알바 푼듯말도안되는 전개에 어이없는 CG까지 총체적 난국
관람객,알바들 극혐이네 이게 어딜봐서 10점 짜리 영화냐 양심을 돈때문에 밥말아먹었ㄴㅑ??
관람객,돈 주고 보는 제네시스 광고라고 해서 각오하고 봐서 그런지 생각보다 광고 때문에 몰입이 깨지거나 과하다는 생각이 들진 않았다.. 다만 약간 개연성이 떨어지는 듯한 부분이나 뻔한 스토리가 조금 아쉬웠다. 조우진 배우님...
관람객,제네시스 광고.. 조우진님 연기랑 지창욱님 목소리 빼고 크게 볼 거 없었네요
관람객,긴장감도 있고 나름 볼만했어요 근데 큰 기대는 하지마세요
관람객,처음부터 끝까지제너시스 광고!
관람객,조우진 연기 넘 잘한다. 스릴넘치는 자동차씬
관람객,
관람객,진부함의 끝. 하… 저혈압 환자들에게 추천. 헛웃음 계속 나옴
관람객,ㅋㅋㅋㅋ진짜 말도 안되는 영화다 아무런 개연성도 없고 억지 스토리 배우들의 연기 또한 너무 티나는 연기지만 이게 배우 탓인지 연출 탓인지 모르겠다 절대 보지 마세요
관람객,내용없음 최악  전반적으로    많이  부족하다
관람객,돈과 시간이 진짜 너무도 아까웠다그냥 현대전시장을 가고말지
관람객,부산인데 부산 사투리 쓰는 사람 2명GV80 멋지다 사고싶다
관람객,초반에 너무 지루하고 재미없음...
관람객,제네시스 광고여도 좋았음....조우진때문에 너무 재미있었던 영화
관람객,배우들 연기는 훌륭 했으나 자동차 광고 보는 줄 알았어요
관람객,좀은 어설픈 스토리와 전개로 결말까지가 아쉽지만 초반의 몰입력과 조우진 배우의 연기는 최고였어요. 신파를 없애고 좀더 쫄깃한 스토리로 가면 더 좋았을... 하지만 킬링타임용으로 나쁘지 않습니다.
관람객,조우진 지창욱 연기는 진짜다. 특히 지창욱 등장씬은 압도당한 느낌 // 다만 제네시스에 너무 집중된 영화? 연기는 10점만점에 10점 연출은 10점만점에 5점 // 연출보다 연기가 돋보이는 영화
관람객,몰입감 좋고 재밌었어요 긴장감과 스릴이 넘치는 영화입니다
관람객,"스피디한 전개, 높은 몰입감"
관람객,제네시스 광고를 왜 돈 내고 봐야하는지그냥 내 돈 개 아까워
관람객,괜찮은 팝콘무비. 조우진님의 연기가 훌륭하다.
관람객,내 인생 최악의 영화… 스릴도 없고 억지감동 끼워넣기.. 차만 신나게 보고왔네요 기분이 나쁜 영화였습니다
관람객,초반엔 몰입되다가 중반부 딸내미가 뒷좌석에선 앞좌석으로 옮긴 후 갑분싸부터 매순간이 억지에다 이 때부터 하품하면서 봄
관람객,조우진님 연기는 좋았으나 내용이 엉성함.1.좌석에서 앉은체로 자세바꾸고 별짓해도 안터지는거 같음 마지막에 책처럼 무게있는걸로 대체할생각은 진작 왜못한거며.2.동생으로 위장한 범인 신원조회도 안하고 경찰도 없이 혼자 ...
관람객,몇시간 짜리 제네시스 광고 잘 봤습니다..돈이 아깝네요.. 경찰이 멍청이들도 아니고  수배차량도 못잡고 저격수라는 놈들은 차도 못맞추고 장난???
관람객,내가 가장 싫어하는 장르 - 한국 신파극. 한국 신파극은 진짜 돈주고 보라고해도 고역임
관람객,그냥 더 테러 라이브 하위버전 보는 느낌이랄까...
관람객,"리메이크인데도 내용적 결함이 너무 많은 영화다, 긴장도 없고 90분대 영화가 왜 이리 지루한가..."
관람객,이게 영화냐 조우진이라는 배우를 이따위 시나리오로 버리기가 있냐 ㅡㅡ
관람객,조우진+조연들 연기력이 오히려 안타깝습니다개연성이 정말 없습니다해안가 근처살면서 딸 대사: 바닷가 오랜만이다?영화 연출이며 진부해빠진 무능한경찰진짜 짜증이납니다이렇게 영화 대충만들고 돈 벌면 좋나영화에선 돈 날린 투...
관람객,뻔한스토리 억지 K-형 액션영화관에서 돈쓰지말구 그냥 한달 뒤 ocn에서 보세요~여자친구한테 미안했읍니다.
관람객,"늘어지는 중반부,,,감독은 연출의 한계를 느끼고,,,ㅠ"
관람객,내용전개 최악 제네시스 광고
관람객,진짜 제네시스 광고임 ㅋㅋ와....제네시스만 눈에보임 ㅋ왜 영화가 이래ㅠ 기대했는데ㅠㅠ
관람객,조우진 와이프와..여자 경찰 연기 왜이러냐..남자경찰 우두머리도 뭔가 어리버리하고ㅡㅡ글고 긴박한상황에 여자경찰보고 아줌마 ㅋㅋㅋㅡ~억지신파 너무많다..
관람객,"주제도 괜찮고 배우들 연기도 괜찮은 편인데.. 드라마 참좋은시절 3인방(김지호,류승수,진경)은 연기를 못하는게 아닌데도 뭔가 겉도는 느낌이 강함.. 차를 타고 이동하는데도 범인이 바로 옆에 있는 수준으로 모든걸 다 ..."
관람객,너무 한국적인 지겨운 영화
관람객,무난한 영화.. 신파란 거 알고 봤지만 스토리는.. 기대이하. 제일 중요한건 애가 축구 계속 할 수 있는지 안알려주고 끝남.
관람객,"내가 한국 여화를 안좋아하는 이유. 영화 처음부터 전개따윈 없는 위기때문에 영화내용을 이해할수 없음. 진부한 스토리와 뻔한 결말, 억지 감동  그리고 고구마. 그나마 배우 연기는 볼만함. //총평: STAY.."
관람객,불교에서는 우리에게 화를 다스리라고 가르칩니다. '화의 씨앗' 에 물을 주면 안된다고 말이죠. 이 영화에서 거기에 물을 뿌릴 줄은 몰랐습니다. 아 그리고 빠방 광고 잘 봤습니다.
관람객,영화 아저씨 이후로 첨 써본다 ㅎㅎ평점이  하도 높아서 넷플릭스 드라마 보다도 못함간만에 졸뻔했다
관람객,영화를 가장한 제네시스 광고. 억지 신파에 눈물대신 웃음만 나옴. 비싼 돈내고 제네시스 광고 보고싶은 사람은 보셈.
관람객,경찰들 혹시 베네수엘라 경찰로 컨셉잡은건가영??
관람객,다음차 GV80사야지
관람객,내가 왜 돈주고 현대차 광고를 봐야하냐???넷플도 광고가 없는데 진짜
관람객,GV80 광고를 94분동안 보고온 느낌ㅋㅋ
관람객,예고편만 봤을 땐 와 이거 진짜 재밌겠다 싶어서 본 건데 딱 예고편에 나오는 내용만 재밌고 그 뒤로는 캐릭터들이 하나같이 다 멍청함. 보면서 열불 터졌음. 아니 이걸 이렇게 한다고??? 마음 속으로 몇 번이나 외쳤는...
관람객,뻔해요ㅜㅠ신파고.... 비추
관람객,"전화 걸려오는 순간부터 끝나는 순간까지 지창욱배우의 목소리 연기와 조우진배우의 현장연기가 진짜...시간 가는줄도 몰랐어요ㅠ그리고 폭파범(지창욱)이 나쁘긴 하지만 그 눈에 서사,개연성 뭐 다 들어있어서 분명 나쁜놈이라..."
관람객,참나...어떻게 30년전에 나온 '스피드'가 더 완성도있냐???
관람객,"참신한 소재 ,진부한 스토리, 뛰어난 연출, 조우진 캐리.  딱 킬링타임용인듯. 시간이 지나면 평점은 8정초반 정도로 형성될듯!"
관람객,조우진배우님을 또 한번 돋보이게하는 영화
